SeasonId,StartTime,EndTime
1,2021-08-05 0:00,2021-08-10 0:00
2,2021-08-12 0:00,2021-08-17 0:00
3,2021-08-19 0:00,2021-08-24 0:00
4,2021-08-26 0:00,2021-08-31 0:00
5,2021-09-02 0:00,2021-09-07 0:00
6,2021-09-09 0:00,2021-09-14 0:00
7,2021-09-16 0:00,2021-09-21 0:00
8,2021-09-23 0:00,2021-09-28 0:00
9,2021-09-30 0:00,2021-10-05 0:00
10,2021-10-07 0:00,2021-10-12 0:00
11,2021-10-14 0:00,2021-10-19 0:00
12,2021-10-21 0:00,2021-10-26 0:00
13,2021-10-28 0:00,2021-11-02 0:00
14,2021-11-04 0:00,2021-11-09 0:00
15,2021-11-11 0:00,2021-11-16 0:00
16,2021-11-18 0:00,2021-11-23 0:00
17,2021-11-25 0:00,2021-11-30 0:00
18,2021-12-02 0:00,2021-12-07 0:00
19,2021-12-09 0:00,2021-12-14 0:00
20,2021-12-16 0:00,2021-12-21 0:00
21,2021-12-23 0:00,2021-12-28 0:00
22,2021-12-30 0:00,2022-01-04 0:00
23,2022-01-06 0:00,2022-01-11 0:00
24,2022-01-13 0:00,2022-01-18 0:00
25,2022-01-20 0:00,2022-01-25 0:00
26,2022-01-27 0:00,2022-02-01 0:00
27,2022-02-03 0:00,2022-02-08 0:00
28,2022-02-10 0:00,2022-02-15 0:00
29,2022-02-17 0:00,2022-02-22 0:00
30,2022-02-24 0:00,2022-03-01 0:00
31,2022-03-03 0:00,2022-03-08 0:00
32,2022-03-10 0:00,2022-03-15 0:00
33,2022-03-17 0:00,2022-03-22 0:00
34,2022-03-24 0:00,2022-03-29 0:00
35,2022-03-31 0:00,2022-04-05 0:00
36,2022-04-07 0:00,2022-04-12 0:00
37,2022-04-14 0:00,2022-04-19 0:00
38,2022-04-21 0:00,2022-04-26 0:00
39,2022-04-28 0:00,2022-05-03 0:00